Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,School
7.0,Christopher Flippin,F,25,0,13.3,2.0,4.3,0.463,0.0,0.0,,2.0,4.3,0.463,0.463,0.8,1.3,0.594,1.5,1.1,2.6,0.7,0.3,0.3,1.2,1.6,4.8,,Maryland-Eastern Shore
8.0,Trey Brown,G,24,0,14.5,1.3,3.5,0.353,0.3,1.1,0.269,1.0,2.5,0.39,0.394,0.7,1.0,0.667,0.5,2.0,2.5,1.3,0.5,0.2,1.6,1.3,3.5,,Maryland-Eastern Shore
9.0,Maurio Hanson Jr.,F,22,0,8.7,1.0,2.0,0.535,0.1,0.2,0.4,1.0,1.7,0.553,0.558,0.6,0.9,0.684,0.5,1.2,1.7,0.5,0.2,0.2,0.7,0.9,2.8,,Maryland-Eastern Shore
10.0,Trey Hall,F,12,0,13.7,0.9,2.9,0.314,0.4,2.0,0.208,0.5,0.9,0.545,0.386,0.0,0.0,,0.2,1.6,1.8,0.6,0.2,0.1,1.4,0.8,2.3,,Maryland-Eastern Shore
11.0,Levi Beckwith,F,21,21,17.9,0.7,3.0,0.234,0.1,1.6,0.091,0.6,1.5,0.387,0.258,0.5,0.8,0.625,0.4,2.3,2.8,0.6,0.6,0.6,0.8,1.7,2.0,,Maryland-Eastern Shore
12.0,Maurice Vassel,F,20,7,7.0,0.7,1.1,0.636,0.0,0.0,,0.7,1.1,0.636,0.636,0.6,0.8,0.733,0.5,0.5,1.0,0.1,0.1,0.2,0.7,1.1,2.0,,Maryland-Eastern Shore
13.0,Javoy Thompson,G,17,0,8.9,0.7,1.7,0.414,0.0,0.2,0.0,0.7,1.5,0.462,0.414,0.3,0.4,0.714,0.1,0.5,0.6,0.3,0.1,0.1,0.4,0.5,1.7,,Maryland-Eastern Shore
14.0,Jaden Johnson,G,20,0,6.2,0.3,1.2,0.217,0.1,0.6,0.083,0.2,0.6,0.364,0.239,0.3,0.3,1.0,0.0,0.6,0.6,0.7,0.1,0.0,0.7,0.5,0.8,,Maryland-Eastern Shore
,Team Totals,,27,27,202.8,23.9,53.7,0.445,5.4,18.0,0.303,18.4,35.7,0.516,0.496,10.5,14.8,0.71,9.9,22.3,32.1,13.3,5.4,2.3,15.4,17.9,63.7,,Maryland-Eastern Shore
1.0,Leonardo Bettiol,F,27,27,28.9,6.4,10.7,0.597,0.0,0.1,0.333,6.3,10.6,0.6,0.599,4.9,6.9,0.704,2.5,5.3,7.8,2.0,0.7,0.2,2.6,3.5,17.6,,Massachusetts
2.0,Marcus Banks Jr.,G,27,27,32.5,5.6,13.1,0.428,3.4,8.6,0.392,2.2,4.5,0.496,0.557,2.1,2.6,0.803,0.3,2.3,2.6,1.7,1.3,0.1,1.3,2.4,16.7,,Massachusetts
3.0,K'Jei Parker,G,27,6,21.1,3.8,8.4,0.451,2.1,5.0,0.433,1.6,3.4,0.478,0.58,1.9,2.1,0.893,0.3,1.7,2.0,2.1,0.7,0.0,1.4,2.1,11.6,,Massachusetts
4.0,Daniel Hankins-Sanford,F,27,27,28.2,4.3,9.3,0.462,0.5,1.7,0.277,3.8,7.6,0.505,0.488,2.4,3.9,0.635,2.2,5.0,7.3,1.4,0.6,0.6,1.4,2.9,11.5,,Massachusetts
5.0,Jayden Ndjigue,G,27,27,26.9,2.3,4.4,0.508,0.2,0.9,0.261,2.0,3.6,0.567,0.533,1.9,2.6,0.704,2.1,3.3,5.4,2.0,1.3,0.5,1.6,2.9,6.6,,Massachusetts
6.0,Danny Carbuccia,G,27,21,26.8,2.6,6.0,0.429,0.4,1.6,0.233,2.2,4.4,0.5,0.46,0.8,2.0,0.389,0.3,1.4,1.6,6.4,1.0,0.1,2.0,2.4,6.3,,Massachusetts
