Team, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Georgia Tech,0.09,105.9,105.81,71.5,3.62,107.73,111.35
North Dakota State,-0.22,109.9,110.13,67.45,-8.93,114.29,105.37
UT Rio Grande Valley,-0.39,107.69,108.08,67.89,-4.65,111.62,106.97
Temple,-0.48,111.6,112.08,65.14,-3.57,111.14,107.56
UC Santa Barbara,-0.88,113.84,114.73,65.1,-5.14,111.0,105.86
Montana State,-1.36,111.14,112.49,66.55,-4.43,113.9,109.47
East Tennessee State,-1.69,108.35,110.04,66.57,-12.71,117.86,105.15
Middle Tennessee,-1.94,111.42,113.36,66.16,-0.32,109.89,109.56
Oregon State,-2.06,110.45,112.51,65.6,3.17,107.79,110.96
William & Mary,-2.13,108.31,110.44,73.25,-6.86,113.42,106.56
Portland State,-2.14,103.65,105.78,68.46,-6.61,115.33,108.72
Idaho,-2.18,107.77,109.95,67.66,-5.63,113.97,108.34
Charlotte,-2.19,114.25,116.44,63.86,-0.21,110.01,109.81
Loyola Marymount,-2.2,105.93,108.13,67.59,-0.55,110.53,109.98
Kennesaw State,-2.25,109.14,111.39,71.6,-3.41,111.51,108.09
