Team, Conference, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Utah Valley,WAC,6.42,112.74,106.32,68.99,-3.68,106.56,110.24
Yale,Ivy,6.36,119.34,112.98,65.43,-6.48,107.23,113.71
UNLV,Mountain West,6.21,115.29,109.08,70.38,6.51,113.59,107.08
Miami (OH),MAC,5.38,118.58,113.2,70.14,-7.06,107.37,114.42
Pacific,WCC,4.55,111.61,107.06,64.65,2.18,110.83,108.65
San Francisco,WCC,4.2,114.87,110.68,66.37,3.14,111.13,107.99
Hawai'i,Big West,4.17,107.19,103.02,69.8,-5.62,106.32,111.94
Seattle U,WCC,4.05,103.16,99.11,68.48,2.02,111.7,109.68
Rutgers,Big Ten,4.01,111.72,107.71,67.42,11.27,116.15,104.88
Maryland,Big Ten,3.86,111.19,107.34,66.52,15.12,119.16,104.04
California Baptist,WAC,3.76,106.23,102.47,66.48,-5.33,106.47,111.8
Fresno State,Mountain West,3.5,109.44,105.95,67.55,5.68,113.56,107.89
Memphis,American,3.45,109.36,105.91,70.21,6.14,113.9,107.76
Richmond,A-10,3.13,111.9,108.77,68.5,-2.26,108.67,110.93
Hofstra,CAA,3.12,112.47,109.35,65.09,-5.27,106.67,111.95
Stephen F. Austin,Southland,3.1,110.15,107.05,66.27,-7.65,105.1,112.75
UIC,MVC,3.02,110.35,107.33,66.98,-0.5,109.53,110.03
UC Irvine,Big West,2.93,104.11,101.18,68.93,-4.02,107.19,111.21
North Texas,American,2.86,106.39,103.52,65.53,-0.77,110.54,111.31
UAB,American,2.83,110.08,107.24,69.82,-3.89,108.39,112.28
Florida Atlantic,American,2.67,110.34,107.67,70.45,1.58,110.73,109.16
Davidson,A-10,2.61,109.53,106.92,64.22,1.88,110.4,108.52
Murray State,MVC,2.31,114.37,112.06,72.06,-1.72,109.02,110.74
Saint Joseph's,A-10,2.31,107.09,104.78,69.02,-0.12,109.47,109.59
Bradley,MVC,2.28,114.34,112.05,68.0,-1.3,108.11,109.41
Duquesne,A-10,2.23,112.49,110.26,69.08,0.7,110.18,109.48
Penn State,Big Ten,2.2,113.66,111.45,68.22,11.73,117.64,105.91
Southern Illinois,MVC,2.12,104.54,102.42,69.61,-1.18,108.95,110.13
Sam Houston,CUSA,2.09,111.37,109.28,70.94,-2.22,109.61,111.83
Washington State,WCC,1.9,113.28,111.38,68.63,4.58,111.75,107.17
Rhode Island,A-10,1.9,107.06,105.16,66.59,-1.42,109.09,110.51
Liberty,CUSA,1.69,116.08,114.39,64.62,-3.86,107.64,111.49
UNC Wilmington,CAA,1.42,109.39,107.97,65.58,-8.58,105.39,113.97
St. Thomas-Minnesota,Summit,1.25,111.27,110.03,68.83,-9.81,105.92,115.73
St. Bonaventure,A-10,1.04,114.81,113.77,67.57,-1.02,108.55,109.58
Boston College,ACC,0.87,103.77,102.9,66.76,4.95,112.94,108.0
UC San Diego,Big West,0.86,105.84,104.98,67.79,-4.96,106.59,111.54
Georgia Tech,ACC,0.09,105.9,105.81,71.5,3.62,111.35,107.73
North Dakota State,Summit,-0.22,109.9,110.13,67.45,-8.93,105.37,114.29
UT Rio Grande Valley,Southland,-0.39,107.69,108.08,67.89,-4.65,106.97,111.62
Temple,American,-0.48,111.6,112.08,65.14,-3.57,107.56,111.14
