Player,PPG,Assigned_Team
Logan Myers,0.0,Louisiana Lafayette
Krystian Lewis,18.4,Louisiana Monroe
Martavious Russell,15.3,Louisiana Monroe
Lavell Brodnex,14.7,Louisiana Monroe
Renars Sondors,10.7,Louisiana Monroe
Dylan Diaz,6.2,Louisiana Monroe
Alex Molofeev,5.0,Louisiana Monroe
Micah Caster,3.1,Louisiana Monroe
Ayomide Bamisile,2.8,Louisiana Monroe
Przemek Hartman,2.5,Louisiana Monroe
Alex Huguet Carrasco,1.8,Louisiana Monroe
Ajay Tew,0.8,Louisiana Monroe
William Ball,0.5,Louisiana Monroe
Cam Campbell,0.0,Louisiana Monroe
Max Mackinnon,15.7,Louisiana State
Dedan Thomas Jr.,15.3,Louisiana State
Michael Nwoko,13.4,Louisiana State
Marquel Sutton,13.1,Louisiana State
Jalen Reed,9.5,Louisiana State
Pablo Tamba,7.9,Louisiana State
Robert Miller III,6.1,Louisiana State
Jalen Reece,5.8,Louisiana State
Rashad King,5.8,Louisiana State
PJ Carter,4.0,Louisiana State
Ron Zipper,2.2,Louisiana State
Mazi Mosley,1.8,Louisiana State
Jaden Bobbett,0.0,Louisiana State
DJ Dudley,13.8,Louisiana Tech
AJ Bates,12.1,Louisiana Tech
Scooter Williams Jr.,10.0,Louisiana Tech
Kaden Cooper,9.7,Louisiana Tech
Avery Thomas II,9.1,Louisiana Tech
Jaylen Fenner,5.5,Louisiana Tech
Sir Issac Herron,4.6,Louisiana Tech
Melian Martinez,4.2,Louisiana Tech
Will Allen,3.3,Louisiana Tech
William Jeffress,2.3,Louisiana Tech
Kylan Howze,2.1,Louisiana Tech
Jermaurhiyun Anderson,1.7,Louisiana Tech
Keegan Rowell,1.6,Louisiana Tech
Lachlan Thompson,0.4,Louisiana Tech
Ryan Conwell,18.8,Louisville
Mikel Brown Jr.,18.2,Louisville
J'Vonne Hadley,11.5,Louisville
Isaac McKneely,10.9,Louisville
Sananda Fru,9.0,Louisville
Adrian Wooley,8.7,Louisville
Khani Rooths,5.3,Louisville
Aly Khalifa,3.3,Louisville
Kobe Rodgers,3.3,Louisville
Vangelis Zougris,2.6,Louisville
Kasean Pryor,2.2,Louisville
Cole Sherman,1.2,Louisville
Spencer Legg,0.8,Louisville
Will Hanke,0.2,Louisville
Miles Rubin,11.3,Loyola Il
Xavier Amos,11.1,Loyola Il
Justin Moore,10.9,Loyola Il
Kayde Dotson,10.5,Loyola Il
Deywilk Tavarez,8.9,Loyola Il
Joshua Ola-Joseph,7.6,Loyola Il
Chuck Love III,7.2,Loyola Il
Kymany Houinsou,6.0,Loyola Il
Nicolus Anderson,5.1,Loyola Il
Alexander Richardson,3.3,Loyola Il
Daniil Glazkov,2.7,Loyola Il
Caleb Reese,1.5,Loyola Il
Dominick Harris,1.4,Loyola Il
Zachary Royster,0.6,Loyola Il
Brayden Young,0.3,Loyola Il
Samuel Yurasek,0.0,Loyola Il
MJ Amey Jr.,14.8,Loyola Marymount
Rodney Brown Jr.,14.0,Loyola Marymount
Jalen Shelley,13.7,Loyola Marymount
Jan Vide,12.1,Loyola Marymount
Aaron McBride,7.6,Loyola Marymount
AJ Thomas,5.2,Loyola Marymount
Joshua Dalton,3.6,Loyola Marymount
Rokas Jocius,3.2,Loyola Marymount
Nakyel Shelton,2.8,Loyola Marymount
Rick Issanza,2.6,Loyola Marymount
Jael Martin,1.9,Loyola Marymount
Cooper Smith,0.7,Loyola Marymount
George Tupy,0.5,Loyola Marymount
Kevin Carney,0.0,Loyola Marymount
Braeden Speed,15.3,Loyola Md
Emmett Adair,14.6,Loyola Md
Jacob Theodosiou,13.1,Loyola Md
Jordan Stiemke,9.9,Loyola Md
Jonas Sirtautas,6.5,Loyola Md
Troy Cicero Jr.,5.8,Loyola Md
Sam Springer,4.9,Loyola Md
Tyson Commander,4.1,Loyola Md
Carter Berg-McLean,3.3,Loyola Md
Sebastien Emenalo,3.2,Loyola Md
Everett Barnes,1.5,Loyola Md
Garrett Brennan,0.9,Loyola Md
Ben Menker,0.6,Loyola Md
Peter Sposito,0.3,Loyola Md
TJ Biel,11.7,Maine
Logan Carey,9.7,Maine
Mekhi Gray,9.7,Maine
Keelan Steele,8.1,Maine
Ryan Mabrey,7.4,Maine
Ace Flagg,6.7,Maine
Caleb Crawford,4.4,Maine
Bashir N'Galang,4.0,Maine
Amare Allen,3.8,Maine
Yanis Bamba,2.9,Maine
Isaac Bonilla,2.2,Maine
Killian Gribben,2.0,Maine
Emmitt Byther,0.2,Maine
Jaden Winston,15.3,Manhattan
Terrance Jones,12.7,Manhattan
Devin Dinkins,12.1,Manhattan
Fraser Roxburgh,11.0,Manhattan
Anthony Isaac,9.5,Manhattan
Marko Ljubicic,5.8,Manhattan
Quron Elliott,3.5,Manhattan
Erik Oliver-Bush,3.1,Manhattan
Michael Lawlor,2.6,Manhattan
Asier Miguel Torrero,2.3,Manhattan
Omari Moore,1.1,Manhattan
Aryan Arora,0.7,Manhattan
Brett Rumpel,0.7,Manhattan
Jackson Delaney,0.6,Manhattan
Justin Menard,12.9,Marist
Rhyjon Blackwell,12.1,Marist
Elijah Lewis,12.0,Marist
Jason Schofield,8.0,Marist
Jadin Collins,7.2,Marist
Tarik Watson,6.1,Marist
Parby Kabamba,5.4,Marist
Jaden Daughtry,5.3,Marist
Myles Parker,5.1,Marist
Jordan Gabriel,2.3,Marist
Ricky McKenzie,1.5,Marist
Martin Kawa,1.3,Marist
Trace Salton,1.0,Marist
Antoni Vlogianitis,0.0,Marist
Nigel James Jr.,16.4,Marquette
Chase Ross,14.3,Marquette
Royce Parham,12.5,Marquette
Zaide Lowery,8.1,Marquette
Ben Gold,8.0,Marquette
Adrien Stevens,7.9,Marquette
Sean Jones,6.3,Marquette
Damarius Owens,4.8,Marquette
Caedin Hamilton,2.9,Marquette
Tre Norman,2.2,Marquette
Michael Phillips II,2.1,Marquette
Josh Clark,1.3,Marquette
Braeden Brenn,0.7,Marquette
Casey O'Malley,0.0,Marquette
Jonah Lucas,0.0,Marquette
Jalen Speer,15.7,Marshall
Wyatt Fricks,15.7,Marshall
Noah Otshudi,14.5,Marshall
Landen Joseph,7.9,Marshall
Matthew Van Komen,7.8,Marshall
Caleb Hollenbeck,5.7,Marshall
Wilson Dubinsky,5.0,Marshall
Shamarrie Hugie,4.4,Marshall
Erich Harding,3.8,Marshall
Andrew Fuquay,2.7,Marshall
Bryce Slay,2.1,Marshall
Grant Moore,1.5,Marshall
Kai Spears,1.2,Marshall
Jah'Likai King,14.0,Maryland Baltimore County
DJ Armstrong,13.3,Maryland Baltimore County
Ace Valentine,11.9,Maryland Baltimore County
Caden Diggs,10.0,Maryland Baltimore County
Josh Odunowo,8.4,Maryland Baltimore County
Jose Roberto Tanchyn,6.5,Maryland Baltimore County
Daylon Dickerson,5.6,Maryland Baltimore County
Devin Ceaser,4.3,Maryland Baltimore County
Riley Jacobs,4.3,Maryland Baltimore County
Cougar Downing,3.9,Maryland Baltimore County
Paul Greene,2.0,Maryland Baltimore County
Tim Eze,1.8,Maryland Baltimore County
Jake Stout,1.3,Maryland Baltimore County
Saahil Thakkar,0.5,Maryland Baltimore County
Zion Obanla,10.8,Maryland Eastern Shore
Dorion Staples,9.3,Maryland Eastern Shore
Joseph Locandro,9.3,Maryland Eastern Shore
Jaden Cooper,8.0,Maryland Eastern Shore
Justin Monden,6.0,Maryland Eastern Shore
Michael Teal,5.8,Maryland Eastern Shore
Christopher Flippin,5.0,Maryland Eastern Shore
Trey Brown,3.3,Maryland Eastern Shore
Maurio Hanson Jr.,2.8,Maryland Eastern Shore
Levi Beckwith,2.0,Maryland Eastern Shore
Maurice Vassel,2.0,Maryland Eastern Shore
Trey Hall,1.8,Maryland Eastern Shore
Javoy Thompson,1.7,Maryland Eastern Shore
Jaden Johnson,0.9,Maryland Eastern Shore
Pharrel Payne,17.5,Maryland
David Coit,13.5,Maryland
Andre Mills,12.2,Maryland
Darius Adams,10.8,Maryland
Solomon Washington,9.8,Maryland
Elijah Saunders,9.0,Maryland
Myles Rice,5.6,Maryland
Isaiah Watts,4.3,Maryland
Guillermo Del Pino Luque,1.5,Maryland
Aleks Alston,1.4,Maryland
Collin Metcalf,1.3,Maryland
George Turkson Jr.,1.3,Maryland
Angel Montas,15.8,Massachusetts Lowell
Austin Green,13.2,Massachusetts Lowell
Xavier Spencer,11.9,Massachusetts Lowell
Darrel Yepdo,10.3,Massachusetts Lowell
JJ Massaquoi,8.5,Massachusetts Lowell
Shawn Simmons II,6.7,Massachusetts Lowell
Victor Okojie,5.0,Massachusetts Lowell
Jared Frey,4.0,Massachusetts Lowell
Khalil Farmer,3.8,Massachusetts Lowell
Jerell Roberson,3.4,Massachusetts Lowell
Isaiah Walter,3.0,Massachusetts Lowell
Kris Johnson,1.7,Massachusetts Lowell
Keenan Bey,1.3,Massachusetts Lowell
Leonardo Bettiol,18.1,Massachusetts
Marcus Banks Jr.,16.7,Massachusetts
Daniel Hankins-Sanford,11.3,Massachusetts
K'Jei Parker,10.7,Massachusetts
Danny Carbuccia,6.8,Massachusetts
Jayden Ndjigue,6.5,Massachusetts
Isaiah Placide,3.9,Massachusetts
Dimitri Clerc,3.2,Massachusetts
Luka Damjanac,2.4,Massachusetts
Dwayne Wimbley Jr.,2.3,Massachusetts
Charles Outlaw,1.5,Massachusetts
Donovan Brown,0.8,Massachusetts
Rollie Castineyra,0.0,Massachusetts
Larry Johnson,17.4,Mcneese State
Tyshawn Archie,14.3,Mcneese State
Javohn Garcia,11.9,Mcneese State
Garwey Dual,8.4,Mcneese State
DJ Richards,8.3,Mcneese State
Jerrell Colbert,5.6,Mcneese State
Jacolb Cole,5.5,Mcneese State
Carl Cherenfant,4.1,Mcneese State
Peitok Machar,3.5,Mcneese State
Yanis Ndjonga,2.4,Mcneese State
JJ Rembert,0.5,Mcneese State
Dug McDaniel,13.9,Memphis
Sincere Parker,11.4,Memphis
Curtis Givens III,9.4,Memphis
Aaron Bradshaw,8.6,Memphis
Julius Thedford,8.4,Memphis
Zachary Davis,7.2,Memphis
Hasan Abdul-Hakim,6.2,Memphis
Quante Berry,6.1,Memphis
Ashton Hardaway,5.6,Memphis
Thierno Sylla,3.8,Memphis
Tariq Ingraham,3.2,Memphis
Simon Majok,2.9,Memphis
William Whorton,1.8,Memphis
Arop Arop,0.7,Memphis
Mason Matthews,0.4,Memphis
Baraka Okojie,19.7,Mercer
Armani Mighty,13.2,Mercer
Zaire Williams,13.1,Mercer
Brady Shoulders,9.3,Mercer
Quinton Perkins II,8.9,Mercer
Kyle Cuffe Jr.,7.3,Mercer
Connor Serven,6.4,Mercer
Tristan Gross,4.2,Mercer
Jaydon Cole,3.6,Mercer
Bendji Pierre,3.5,Mercer
Braeden Carlsen,3.0,Mercer
Alex Koch,1.6,Mercer
Pero Zubac,1.4,Mercer
TJ Grant,1.0,Mercer
Bernie Blunt III,17.6,Mercyhurst
Jake Lemelman,13.9,Mercyhurst
Qadir Martin,11.6,Mercyhurst
Mykolaus Ivanauskas,7.4,Mercyhurst
Deshaun Jackson Jr.,6.0,Mercyhurst
Christian Gamble,3.9,Mercyhurst
Cameron Johnson,3.4,Mercyhurst
Kaden Fuhrmann,3.3,Mercyhurst
James Thomas,1.4,Mercyhurst
Christopher Leman,1.2,Mercyhurst
Or Faran Frenkel,1.1,Mercyhurst
Sean Lang,0.8,Mercyhurst
Vladimir Pavlovic,0.8,Mercyhurst
Brady Conner,0.3,Mercyhurst
Kevair Kennedy,18.4,Merrimack
Ernest Shelton,15.9,Merrimack
Tye Dorset,11.7,Merrimack
Andres Marrero,7.9,Merrimack
Todd Brogna,6.1,Merrimack
KC Ugwuakazi,5.2,Merrimack
Dylan Veillette,1.9,Merrimack
Aliou Cisse,1.2,Merrimack
Malik Edmead,1.1,Merrimack
Jaylen Stinson,1.0,Merrimack
Brendan Johnson,0.7,Merrimack
Brandon Legris,0.0,Merrimack
Malik Reneau,18.9,Miami Fl
Tre Donaldson,16.4,Miami Fl
Shelton Henderson,13.8,Miami Fl
Tru Washington,11.9,Miami Fl
Ernest Udeh Jr.,6.7,Miami Fl
Dante Allen,6.6,Miami Fl
Marcus Allen,5.3,Miami Fl
Timotej Malovec,4.2,Miami Fl
Noam Dovrat,3.8,Miami Fl
Salih Altuntas,1.6,Miami Fl
John Laboy II,1.2,Miami Fl
Jordyn Kee,0.4,Miami Fl
Peter Suder,14.8,Miami Oh
Brant Byers,14.2,Miami Oh
Evan Ipsaro,13.9,Miami Oh
Eian Elmer,12.7,Miami Oh
Luke Skaljac,10.3,Miami Oh
Almar Atlason,9.9,Miami Oh
Antwone Woolfolk,9.8,Miami Oh
Justin Kirby,6.2,Miami Oh
Trey Perry,5.8,Miami Oh
Tyler Robbins,3.1,Miami Oh
Kyle Waltz,3.0,Miami Oh
Brady Ganley,1.8,Miami Oh
Eli Yofan,1.5,Miami Oh
Ethan Wright,1.4,Miami Oh
Jackson Kotecki,1.2,Miami Oh
Jeremy Fears Jr.,15.2,Michigan State
Jaxon Kohler,12.5,Michigan State
Coen Carr,12.0,Michigan State
Carson Cooper,11.1,Michigan State
Kur Teng,7.3,Michigan State
Jordan Scott,5.8,Michigan State
Cameron Ward,5.1,Michigan State
Divine Ugochukwu,5.1,Michigan State
Trey Fort,4.2,Michigan State
Jesse McCulloch,2.4,Michigan State
Denham Wojcik,0.5,Michigan State
Brennan Walton,0.4,Michigan State
Nick Sanders,0.4,Michigan State
Colin Walton,0.3,Michigan State
Yaxel Lendeborg,15.1,Michigan
Morez Johnson Jr.,13.1,Michigan
Aday Mara,12.1,Michigan
Elliot Cadeau,10.5,Michigan
Trey McKenney,9.9,Michigan
L.J. Cason,8.4,Michigan
Nimari Burnett,8.2,Michigan
Roddy Gayle Jr.,7.3,Michigan
Will Tschetter,3.5,Michigan
Winters Grady,2.9,Michigan
Oscar Goodman,1.4,Michigan
Malick Kordel,1.2,Michigan
Charlie May,0.9,Michigan
Howard Eisley Jr.,0.3,Michigan
Kamari Lands,13.3,Middle Tennessee
Torey Alston,13.1,Middle Tennessee
Jahvin Carter,10.8,Middle Tennessee
Savon Wykle,10.0,Middle Tennessee
Sean Smith,9.3,Middle Tennessee
Alec Oglesby,8.3,Middle Tennessee
Chris Loofe,7.3,Middle Tennessee
Tre Green,7.1,Middle Tennessee
Marcus Whitlock,3.9,Middle Tennessee
Jarred Hall,2.3,Middle Tennessee
Luka Jovanovic,2.2,Middle Tennessee
James Dent Jr.,1.9,Middle Tennessee
Seth Hubbard,16.6,Milwaukee
Amar Augillard,12.6,Milwaukee
Danilo Jovanovich,12.4,Milwaukee
Stevie Elam,10.5,Milwaukee
Chandler Jackson,9.7,Milwaukee
Josh Dixon,9.0,Milwaukee
Aaron Franklin,6.8,Milwaukee
Faizon Fields,6.7,Milwaukee
Sekou Konneh,6.4,Milwaukee
Isaiah Dorceus,5.5,Milwaukee
Esyah Pippa-White,4.4,Milwaukee
Simeon Murchison,1.2,Milwaukee
Tate MacKenzie,0.8,Milwaukee
Austin Villarreal,0.5,Milwaukee
Cade Tyson,19.6,Minnesota
Jaylen Crocker-Johnson,13.4,Minnesota
Langston Reynolds,11.6,Minnesota
Isaac Asuma,10.9,Minnesota
Bobby Durkin,10.2,Minnesota
Chansey Willis Jr.,6.3,Minnesota
Robert Vaihola,5.0,Minnesota
Grayson Grove,4.0,Minnesota
Kai Shinholster,1.8,Minnesota
Nehemiah Turner,0.7,Minnesota
Maximus Gizzi,0.2,Minnesota
RJ Spencer,0.0,Minnesota
Josh Hubbard,22.1,Mississippi State
Jayden Epps,13.7,Mississippi State
Ja'Borri McGhee,8.4,Mississippi State
Quincy Ballard,6.5,Mississippi State
Achor Achor,6.2,Mississippi State
Shawn Jones Jr.,5.3,Mississippi State
King Grace,5.1,Mississippi State
Sergej Macura,5.0,Mississippi State
Brandon Walker,4.7,Mississippi State
Jamarion Davis-Fleming,3.7,Mississippi State
Amier Ali,3.2,Mississippi State
Dellquan Warren,1.2,Mississippi State
Michael James,21.4,Mississippi Valley State
Daniel Mayfield,13.4,Mississippi Valley State
Lamont Sams,8.4,Mississippi Valley State
Xzayvion Childress,8.2,Mississippi Valley State
Patrick Punch,8.1,Mississippi Valley State
Sam Murray II,5.1,Mississippi Valley State
George Ivory III,5.0,Mississippi Valley State
Delkedric Holmes,4.8,Mississippi Valley State
X’Zaevion Barnett,4.7,Mississippi Valley State
Mussa Mzein,3.3,Mississippi Valley State
Antonio Sisk,2.5,Mississippi Valley State
Tyrone Iroghama,2.5,Mississippi Valley State
Chance Sutton,1.6,Mississippi Valley State
Johnathan Pace,1.1,Mississippi Valley State
Derrick Singleton,0.0,Mississippi Valley State
PJ McDonald,0.0,Mississippi Valley State
AJ Storr,15.5,Mississippi
Malik Dia,14.5,Mississippi
Ilias Kamardine,11.3,Mississippi
Patton Pinkins,9.3,Mississippi
Kezza Giffa,5.9,Mississippi
Travis Perry,5.3,Mississippi
Eduardo Klafke,4.6,Mississippi
James Scott,3.9,Mississippi
Corey Chest,2.6,Mississippi
Augusto Cassia,2.2,Mississippi
Koren Johnson,1.8,Mississippi
Hobert Grayson IV,1.4,Mississippi
Max Smith,1.0,Mississippi
Zach Day,0.9,Mississippi
Niko Bundalo,0.5,Mississippi
Karmello Branch,12.1,Missouri Kansas City
U'Riyah Evans,11.6,Missouri Kansas City
Jayson Petty,11.1,Missouri Kansas City
Kasheem Grady II,10.0,Missouri Kansas City
Jerome Palm,7.8,Missouri Kansas City
Chris Dockery,7.2,Missouri Kansas City
Shatner Booker-Lowery,4.4,Missouri Kansas City
Addarin Scott,3.8,Missouri Kansas City
Kernan Bundy,3.0,Missouri Kansas City
D'Andre Harrison,2.8,Missouri Kansas City
Jamaria Clark,2.8,Missouri Kansas City
Babacar Mbengue,1.2,Missouri Kansas City
Keith Palek III,17.3,Missouri State
Michael Osei-Bonsu,15.3,Missouri State
Kobi Williams,14.4,Missouri State
Trey Williams Jr.,9.4,Missouri State
Amar Kuljuhovic,7.5,Missouri State
Zaxton King,7.2,Missouri State
Antwan Burnett,4.7,Missouri State
Darrion Sutton,4.6,Missouri State
Ryder Cheesman,3.3,Missouri State
Melakih Cunningham,3.1,Missouri State
Tyrique Brooks,1.9,Missouri State
Cameron Boone,1.3,Missouri State
Logan Epes,1.2,Missouri State
Mark Mitchell,18.3,Missouri
Jayden Stone,13.5,Missouri
Trent Pierce,10.4,Missouri
Anthony Robinson II,8.9,Missouri
T.O. Barrett,8.6,Missouri
Jacob Crews,8.4,Missouri
Shawn Phillips Jr.,7.6,Missouri
Sebastian Mack,7.0,Missouri
Jevon Porter,6.2,Missouri
Luke Northweather,3.0,Missouri
Annor Boateng,2.7,Missouri
Trent Burns,2.0,Missouri
Nicholas Randall,0.7,Missouri
Kavion McClain,17.1,Monmouth
Jason Rivera-Torres,15.8,Monmouth
Justin Ray,11.3,Monmouth
Stefanos Spartalis,10.7,Monmouth
Cornelius Robinson Jr.,8.0,Monmouth
Andrew Ball,7.9,Monmouth
Jack Collins,7.0,Monmouth
Dok Muordar,4.1,Monmouth
Corey Miller,3.7,Monmouth
Jinup Doboul,3.1,Monmouth
Zubayr Griffin,1.1,Monmouth
Lucas Orchard,0.8,Monmouth
Anthony Martinez,0.6,Monmouth
O'Marion Harvey,0.6,Monmouth
Quinn Peters,0.3,Monmouth
Jack Leahy,0.0,Monmouth
Jed Miller,14.9,Montana State
Patrick McMahon,13.7,Montana State
Davian Brown,12.7,Montana State
Christian King,12.6,Montana State
Jeremiah Davis,9.1,Montana State
Cavin Holden,8.4,Montana State
Seth Amunrud,7.3,Montana State
Jaden Steppe,5.6,Montana State
Chris Hodges,5.5,Montana State
Waka Mbatch,4.7,Montana State
Howie Keene,2.2,Montana State
Grayson Gaddis,1.8,Montana State
Calum Rutherfurd,1.0,Montana State
Money Williams,20.6,Montana
Te'Jon Sawyer,11.4,Montana
Brooklyn Hicks,9.0,Montana
Kenyon Aguino,8.4,Montana
Tyler Thompson,8.4,Montana
Grant Kepley,6.2,Montana
Tyler Isaak,6.1,Montana
Courtney Anderson,5.7,Montana
Kadyn Betts,3.1,Montana
Chase Henderson,2.4,Montana
Connor Dick,2.4,Montana
Trae Taylor,2.2,Montana
Amari Jedkins,1.3,Montana
George Marshall,13.8,Morehead State
Davion Cunningham,11.4,Morehead State
Jon Carroll,11.2,Morehead State
Chase Dawson,8.3,Morehead State
Anouar Mellouk,8.0,Morehead State
Josiah LeGree,7.5,Morehead State
Tamaury Releford,5.8,Morehead State
Tyonne Farrell,4.0,Morehead State
Clayton Parker,3.9,Morehead State
Vince Dawson III,3.6,Morehead State
Jace Winkleman,2.0,Morehead State
Jacob Wilson,0.0,Morehead State
Alfred Worrell Jr.,17.4,Morgan State
Elijah Davis,13.8,Morgan State
Rob Lawson,12.8,Morgan State
Walter Peggs Jr.,8.8,Morgan State
Eugene Alvin,7.3,Morgan State
Christian Meeks,5.9,Morgan State
Christian Oliver,4.3,Morgan State
Marland Harris,3.9,Morgan State
Trent Edwards,3.5,Morgan State
David Bumpass,3.2,Morgan State
Manok Lual,1.8,Morgan State
Dallas James,1.6,Morgan State
Matar Wade,0.9,Morgan State
Jayden Socka,0.7,Morgan State
Breon Barnett,0.3,Morgan State
Arlandus Keyes,12.3,Mount St Marys
Luke McEldon,11.7,Mount St Marys
Trey Deveaux,11.2,Mount St Marys
Xavier Lipscomb,9.4,Mount St Marys
Abdou Khadre Kébé,7.7,Mount St Marys
Justin Amadi,7.3,Mount St Marys
Anthony Arrington,5.7,Mount St Marys
Mason So,3.9,Mount St Marys
Anastasios Rozakeas,3.8,Mount St Marys
Patrick Haigh,3.3,Mount St Marys
Yakhya Diop,1.8,Mount St Marys
Elijah Espinosa,0.7,Mount St Marys
John Miller IV,0.2,Mount St Marys
Noah Rogers,0.0,Mount St Marys
Javon Jackson,16.5,Murray State
Roman Domon,14.2,Murray State
Fredrick King,13.1,Murray State
Layne Taylor,8.0,Murray State
JJ Traynor,7.4,Murray State
KJ Tenner,6.0,Murray State
Mason Miller,5.9,Murray State
Brayden Shorter,5.7,Murray State
Mathis Courbon,4.6,Murray State
Brock Vice,2.0,Murray State
Dylan Anderson,1.5,Murray State
Austin Benigni,18.0,Navy
Aidan Kehoe,15.2,Navy
Jinwoo Kim,9.9,Navy
Donovan Draper,8.7,Navy
Jordan Pennick,7.2,Navy
Mike Woods,6.6,Navy
Cam Cole,6.1,Navy
David Burnett,1.6,Navy
Nyles Howard,1.5,Navy
Jerry Ashley Jr.,1.1,Navy
Julian Gabbidon,1.1,Navy
Sam Krist,1.1,Navy
Cam Cormany,1.0,Navy
Cooper Jackson,0.9,Navy
Matt Gaffney,0.5,Navy
Owen Gray,0.5,Navy
Tobi Raji,0.0,Navy
Paul Djobet,17.5,Nebraska Omaha
Lance Waddles,12.8,Nebraska Omaha
Ja'Sean Glover,11.6,Nebraska Omaha
Tony Osburn,11.6,Nebraska Omaha
Grant Stubblefield,9.3,Nebraska Omaha
Christian Richardson,7.4,Nebraska Omaha
Kamryn Thomas,4.7,Nebraska Omaha
Khamani Cooper,4.7,Nebraska Omaha
Brock Scholl,4.1,Nebraska Omaha
Julian Margrave,3.7,Nebraska Omaha
Valentino Simon,3.7,Nebraska Omaha
Aidan Skradis,1.1,Nebraska Omaha
Pryce Sandfort,18.1,Nebraska
Rienk Mast,13.3,Nebraska
Braden Frager,11.8,Nebraska
Jamarques Lawrence,9.8,Nebraska
Sam Hoiberg,9.3,Nebraska
Ugnius Jarusevicius,7.0,Nebraska
Berke Buyuktuncel,6.5,Nebraska
Connor Essegian,5.4,Nebraska
Cale Jacobsen,4.6,Nebraska
Jared Garcia,3.0,Nebraska
Leo Curtis,1.6,Nebraska
Kendall Blue,0.7,Nebraska
Justin Bolis,0.2,Nebraska
Dra Gibbs-Lawhorn,20.7,Nevada Las Vegas
Kimani Hamilton,12.8,Nevada Las Vegas
Tyrin Jones,11.9,Nevada Las Vegas
Howie Fleming Jr.,9.0,Nevada Las Vegas
Issac Williamson,8.6,Nevada Las Vegas
Jacob Bannarbie,5.4,Nevada Las Vegas
Ladji Dembele,5.2,Nevada Las Vegas
Naas Cunningham,5.0,Nevada Las Vegas
Al Green,4.4,Nevada Las Vegas
Walter Brown,3.8,Nevada Las Vegas
Emmanuel Stephen,3.5,Nevada Las Vegas
Jalen Cunningham,0.4,Nevada Las Vegas
Corey Camper Jr.,16.6,Nevada
Elijah Price,12.8,Nevada
Tayshawn Comer,11.0,Nevada
Vaughn Weems,10.1,Nevada
Chuck Bailey III,6.3,Nevada
Tyler Rolison,5.5,Nevada
Joel Armotrading,5.2,Nevada
Kaleb Lowery,4.6,Nevada
Peyton White,4.6,Nevada
Amire Robinson,2.7,Nevada
Ethan Croley,1.9,Nevada
Myles Walker,1.3,Nevada
Jeriah Coleman,1.1,Nevada
Christopher Baudreau,1.0,Nevada
Belal El Shakery,11.4,New Hampshire
Jack Graham,11.2,New Hampshire
KiJan Robinson,10.7,New Hampshire
Comeh Emuobor,9.0,New Hampshire
Tyler Bike,7.5,New Hampshire
Davide Poser,7.0,New Hampshire
John Squire,6.1,New Hampshire
Reginald Kennedy Jr.,5.3,New Hampshire
Giannos Xanthopoulos,1.7,New Hampshire
Dylan Saunders,1.5,New Hampshire
Antoni Siewruk,1.4,New Hampshire
Jon O'Neill,1.3,New Hampshire
Myles Blackley,0.7,New Hampshire
Nicholas Sanford,0.0,New Hampshire
Jabri Fitzpatrick,15.0,New Haven
Najimi George,11.2,New Haven
Andre Pasha,10.7,New Haven
Kheni Briggs,6.9,New Haven
Stefano Faloppa,6.2,New Haven
Maison Adeleye,4.5,New Haven
Teshaun Steele,3.9,New Haven
Aidan Losiewicz,2.9,New Haven
Dominick LaDuca,2.7,New Haven
Timothy Coleman,2.7,New Haven
Vere Anthony,2.6,New Haven
Zoumana Traore,2.3,New Haven
Dior Kennedy,1.7,New Haven
Tristan Burth,1.6,New Haven
Kyle Kearson,1.3,New Haven
Jagger Bascombe,0.7,New Haven
Nathan Narcisse,0.0,New Haven
Jemel Jones,17.8,New Mexico State
Julius Mims,10.6,New Mexico State
Jayland Randall,8.9,New Mexico State
Elijah Elliott,8.3,New Mexico State
Anthony Wrzeszcz,7.4,New Mexico State
Jae'Coby Osborne,6.0,New Mexico State
Gabe Pickens,4.5,New Mexico State
Chris Terrell,4.2,New Mexico State
Kyrese Mullen,3.8,New Mexico State
Cyr Malonga,3.7,New Mexico State
Amarco Doyle,3.0,New Mexico State
Augustine Ekwe,2.7,New Mexico State
Christian Villegas,0.7,New Mexico State
Teysean Eaglestaff,0.0,New Mexico State
Jake Hall,16.4,New Mexico
Tomislav Buljan,13.1,New Mexico
Deyton Albury,11.7,New Mexico
Uriah Tenette,10.6,New Mexico
Luke Haupt,7.8,New Mexico
Antonio Chol,7.7,New Mexico
JT Rock,6.2,New Mexico
Tajavis Miller,5.6,New Mexico
Chris Howell,5.5,New Mexico
Milos Vicentic,3.1,New Mexico
Kevin Patton Jr.,2.6,New Mexico
Timeo Pons,2.6,New Mexico
Coleton Benson,16.2,New Orleans
Jakevion Buckley,13.8,New Orleans
MJ Thomas,10.8,New Orleans
Churchill Abass,8.4,New Orleans
Tavaj Cope,8.3,New Orleans
Enzo Boudouma,5.3,New Orleans
Kedrick Osby,4.9,New Orleans
Panagiotis Pagonis,4.1,New Orleans
Irish Coquia,2.7,New Orleans
Mathok Majok,2.2,New Orleans
Hercy Miller,1.6,New Orleans
Jamal Chretien II,1.4,New Orleans
Grant Kemp,1.1,New Orleans
Vieux Sanneh,1.0,New Orleans
William Patterson,0.3,New Orleans
Justin Page,12.1,Niagara
Justin Hawkins,8.3,Niagara
Vice Zanki,8.1,Niagara
Trenton Walters,7.2,Niagara
